"Id","organizationname","departmentname","jobname"
671,Lakeridge Health Corporation,ACCOUNTS RECEIVABLE,SR. PROJECT LEAD
672,Lakeridge Health Corporation,ACCOUNTS RECEIVABLE,"SUPERVISOR, ACCOUNTS RECIEVABLE"
673,Lakeridge Health Corporation,COMMUNITY RESPIRATORY SERVICES,ACCOUNTS RECIEVABLE CLERK
674,Lakeridge Health Corporation,DRCC FINANCE,ACCOUNTING ANALYST
675,Lakeridge Health Corporation,"FINANCE, PLANNING & ANALYSIS","MANAGER, PLANNING & ANALYSIS"
676,Lakeridge Health Corporation,"FINANCE, PLANNING & ANALYSIS",SR. BUSINESS & PAYROLL ANALYSIS COORDINA
677,Lakeridge Health Corporation,"FINANCE, PLANNING & ANALYSIS",SR. BUSINESS ADVISOR
678,Lakeridge Health Corporation,FINANCE,ACCOUNTING ASSISTANT
679,Lakeridge Health Corporation,FINANCE,DEPUTY CHIEF FINANCIAL OFFICER
680,Lakeridge Health Corporation,FINANCE,FINANCIAL ANALYST
681,Lakeridge Health Corporation,FINANCE,SR. FINANCIAL LEAD
682,Lakeridge Health Corporation,HEALTH INFORMATION MANAGEMENT,ADMINISTRATIVE ASSISTANT II
683,Lakeridge Health Corporation,HEALTH INFORMATION MANAGEMENT,"MANAGER, CASE COSTING & FUNDING"
684,Lakeridge Health Corporation,HEALTH INFORMATION MANAGEMENT,"MANAGER, CODING & DATA QUALITY"
685,Lakeridge Health Corporation,HEALTH INFORMATION MANAGEMENT,"MANAGER, PRIVACY"
686,Lakeridge Health Corporation,HEALTH INFORMATION MANAGEMENT,"PROJECT MANAGER, HIM"
687,Lakeridge Health Corporation,HEALTH INFORMATION MANAGEMENT,REGISTERED NURSE (CLINICAL AUDITOR)
688,Lakeridge Health Corporation,HEALTH INFORMATION MANAGEMENT,"SR. DIR, FIN, ANALYTICS, HIM & PRIVACY"
689,Lakeridge Health Corporation,ENDOSCOPY - BOWMANVILLE,UNIT CLERK
690,Lakeridge Health Corporation,ENDOSCOPY-OPD,UNIT CLERK
691,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP","MANAGER, PINEWOOD CENTRE"
692,Lakeridge Health Corporation,"MENTAL HEALTH, LHAP",UNIT CLERK
693,Lakeridge Health Corporation,PSYCHIATRY GENERAL,UNIT CLERK
694,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MGT,SERVICE ASSOCIATE
695,Lakeridge Health Corporation,ADD SUPPORTIVE HOUSING,ADDICTION COUNSELLOR II
696,Lakeridge Health Corporation,ADD SUPPORTIVE HOUSING,RECREATION THERAPIST
697,Lakeridge Health Corporation,ADDICTION COMMUNITY TREATMENT,ADDICTION COUNSELLOR I
698,Lakeridge Health Corporation,ADDICTION COMMUNITY TREATMENT,ADDICTION COUNSELLOR II
699,Lakeridge Health Corporation,ADDICTION COMMUNITY TREATMENT,ADDICTION COUNSELLOR III
700,Lakeridge Health Corporation,ADDICTION COMMUNITY TREATMENT,RECREATION THERAPIST
701,Lakeridge Health Corporation,ADDICTION COMMUNITY TREATMENT,SECRETARY
702,Lakeridge Health Corporation,ADDICTIONS CRISIS WALK IN,ADDICTION COUNSELLOR I
703,Lakeridge Health Corporation,ADDICTIONS CRISIS WALK IN,SECRETARY
704,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MANAGEMENT,ADDICTION COUNSELLOR I
705,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MANAGEMENT,ADDICTION COUNSELLOR III
706,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MANAGEMENT,REGISTERED NURSE
707,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MANAGEMENT,SECRETARY
708,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MGT,ADDICTION COUNSELLOR I
709,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MGT,DIETARY AIDE
710,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MGT,REGISTERED PRACTICAL NURSE
711,Lakeridge Health Corporation,ASSESS & COUNSEL MCYS,ADDICTION COUNSELLOR II
712,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",OCCUPATIONAL THERAPIST
713,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",PEER SPECIALIST
714,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",REGISTERED NURSE
715,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",REGISTERED PRACTICAL NURSE
716,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",SECRETARY
717,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",SOCIAL SERVICES WORKER
718,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",SOCIAL WORKER - M.S.W.
719,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",SUBSTANCE ABUSE SPECIALIST
720,Lakeridge Health Corporation,"ASSMT COMM TREAT TEAM, LHAP",VOCATIONAL SPECIALIST
721,Lakeridge Health Corporation,CASE MANAGEMENT MENTAL HEALTH-CORP,ADDICTION COUNSELLOR II
722,Lakeridge Health Corporation,CASE MANAGEMENT,MANAGER - SENIOR SUPPORT
723,Lakeridge Health Corporation,CASE MGMT ADDICTIONS,ADDICTION COUNSELLOR II
724,Lakeridge Health Corporation,CASE MGMT ADDICTIONS,ADDICTION COUNSELLOR III
725,Lakeridge Health Corporation,CRISIS INTERVENTION,REGISTERED NURSE
726,Lakeridge Health Corporation,CRISIS INTERVENTION,SECRETARY
727,Lakeridge Health Corporation,C-VOTE: CHILD/FAMILY INTERVENTION,CHILD AND YOUTH WORKER
728,Lakeridge Health Corporation,CYFP MENTAL HEALTH,CHILD AND YOUTH WORKER
730,Lakeridge Health Corporation,CYFP MENTAL HEALTH,PSYCHOLOGIST
731,Lakeridge Health Corporation,CYFP MENTAL HEALTH,SOCIAL WORKER
732,Lakeridge Health Corporation,CYMH BRIEF SERVICES (MCCSS),REGISTERED NURSE
733,Lakeridge Health Corporation,CYMH COUNSEL/THERAPY (MCYS),MENTAL HEALTH CLINICIAN
734,Lakeridge Health Corporation,CYMH COUNSEL/THERAPY (MCYS),SOCIAL WORKER
735,Lakeridge Health Corporation,MENTAL HEALTH D/N TREATMENT,ADMINISTRATIVE ASSISTANT II
736,Lakeridge Health Corporation,MENTAL HEALTH D/N TREATMENT,MENTAL HEALTH CLINICIAN
737,Lakeridge Health Corporation,MENTAL HEALTH D/N TREATMENT,REGISTERED NURSE
738,Lakeridge Health Corporation,MENTAL HEALTH D/N TREATMENT,SECRETARY
739,Lakeridge Health Corporation,"MENTAL HEALTH O/P, LHAP",REGISTERED NURSE
740,Lakeridge Health Corporation,"MENTAL HEALTH, IP REC THERAPY, LHAP",RECREATION THERAPIST
741,Lakeridge Health Corporation,"MENTAL HEALTH, LHAP","PATIENT CARE MANAGER, MENTAL HEALTH LHAP"
742,Lakeridge Health Corporation,"MENTAL HEALTH, LHAP",REGISTERED NURSE
743,Lakeridge Health Corporation,"MENTAL HEALTH, LHAP",REGISTERED PRACTICAL NURSE
744,Lakeridge Health Corporation,"MENTAL HEALTH, LHAP",UNIT CLERK II
745,Lakeridge Health Corporation,"MENTAL HEALTH, LHAP",UNIT COORDINATOR
746,Lakeridge Health Corporation,"MENTAL HEALTH, OP ADMIN, LHAP",REGISTERED NURSE
747,Lakeridge Health Corporation,"MENTAL HEALTH, OP ADMIN, LHAP",SECRETARY
748,Lakeridge Health Corporation,PSYCHIATRY GENERAL,"PATIENT CARE MANAGER, 3M/MENTAL HEALTH"
749,Lakeridge Health Corporation,PSYCHIATRY GENERAL,REGISTERED NURSE
750,Lakeridge Health Corporation,PSYCHIATRY GENERAL,REGISTERED PRACTICAL NURSE
751,Lakeridge Health Corporation,PSYCHOLOGY: MENTAL HEALTH,PSYCHOLOGIST
752,Lakeridge Health Corporation,"PSYCHOLOGY-CHILD, YOUTH, FAM.MEN.HLTH",SECRETARY
753,Lakeridge Health Corporation,"SOCIAL WORK -MENTAL HEALTH, LHAP",SOCIAL WORKER - M.S.W.
754,Lakeridge Health Corporation,SOCIAL WORK: MENTAL HEALTH OUTPATIENT,SOCIAL WORKER
755,Lakeridge Health Corporation,SOCIAL WORK: MH INPATIENT,SOCIAL WORKER
756,Lakeridge Health Corporation,SOCIAL WORK-CYFP,MENTAL HEALTH CLINICIAN
757,Lakeridge Health Corporation,SOCIAL WORK-CYFP,SOCIAL WORKER
758,Lakeridge Health Corporation,YOUTH COURT WORKER-SS,COURT SUPPORT WORKER
759,Lakeridge Health Corporation,YOUTH CRISIS INTERVENTION TEAM (YCIT),CHILD AND YOUTH WORKER
760,Lakeridge Health Corporation,ENDOSCOPY-OPD,REGISTERED NURSE
761,Lakeridge Health Corporation,"OR MAIN, LHAP",REGISTERED NURSE
762,Lakeridge Health Corporation,POST ANES CARE UNIT,REGISTERED NURSE
763,Lakeridge Health Corporation,PRE-OP SURGERY CLINIC,REGISTERED NURSE
764,Lakeridge Health Corporation,DECISION SUPPORT UNIT,WAIT TIMES INFO SYSTEM COORDINATOR
765,Lakeridge Health Corporation,P-ENDOSCOPY-OPD,REGISTERED NURSE
766,Lakeridge Health Corporation,B-PRE-OP SURG CLINIC,UNIT CLERK
767,Lakeridge Health Corporation,C.S.R. - BOWMANVILLE,MDRD TECHNICIAN
768,Lakeridge Health Corporation,C.S.R. - OSHAWA,"MANAGER, CENTRAL  SERVICE"
769,Lakeridge Health Corporation,C.S.R. - OSHAWA,MDRD TECHNICIAN
770,Lakeridge Health Corporation,C.S.R. - OSHAWA,"SUPERVISOR, STERILE PROCESSING"
771,Lakeridge Health Corporation,C.S.R. - OSHAWA,UNIT CLERK NUP
772,Lakeridge Health Corporation,"DAY SURGERY UNIT, LHAP",REGISTERED NURSE
773,Lakeridge Health Corporation,"DAY SURGERY UNIT, LHAP",REGISTERED PRACTICAL NURSE
774,Lakeridge Health Corporation,"DAY SURGERY UNIT, LHAP",UNIT CLERK
775,Lakeridge Health Corporation,DAY SURGERY,REGISTERED NURSE
776,Lakeridge Health Corporation,DAY SURGERY,REGISTERED PRACTICAL NURSE
777,Lakeridge Health Corporation,DAY SURGERY,UNIT CLERK
778,Lakeridge Health Corporation,DAY SURGERY,UNIT COORDINATOR
779,Lakeridge Health Corporation,MDRD LHPP,MDRD TECHNICIAN
780,Lakeridge Health Corporation,MDRD LHPP,REGISTERED PRACTICAL NURSE
781,Lakeridge Health Corporation,OPD CLINICS,PCM SURG AMB CLINICS & DAYSURGERY
782,Lakeridge Health Corporation,OPD CLINICS,SURGICAL BOOKING CLERK
783,Lakeridge Health Corporation,OPERATING ROOM - ADM,"MANAGER, CORP PERIOPERATIVE MATERIAL/ENV"
784,Lakeridge Health Corporation,OPERATING ROOM - ADM,"MANAGER, SURGICAL ACCESS"
785,Lakeridge Health Corporation,OPERATING ROOM - ADM,"PATIENT CARE MANAGER, OR/PACU LHO"
786,Lakeridge Health Corporation,OPERATING ROOM - ADM,REGISTERED NURSE
787,Lakeridge Health Corporation,OPERATING ROOM - ADM,REGISTERED PRACTICAL NURSE
788,Lakeridge Health Corporation,OPERATING ROOM - ADM,RESOURCE NURSE
789,Lakeridge Health Corporation,OPERATING ROOM - ADM,RPN-OR TECHNICIAN
790,Lakeridge Health Corporation,OPERATING ROOM - ADM,SURGICAL BOOKING CLERK
791,Lakeridge Health Corporation,OPERATING ROOM - ADM,UNIT CLERK
792,Lakeridge Health Corporation,OPERATING ROOM - ADM,UNIT COORDINATOR
793,Lakeridge Health Corporation,OPERATING ROOM - BOWMANVILLE,"PATIENT CARE MANAGER, OPERATING ROOM LHB"
794,Lakeridge Health Corporation,OPERATING ROOM - BOWMANVILLE,REGISTERED NURSE
795,Lakeridge Health Corporation,OPERATING ROOM - BOWMANVILLE,REGISTERED PRACTICAL NURSE
796,Lakeridge Health Corporation,OPERATING ROOM - BOWMANVILLE,UNIT CLERK
797,Lakeridge Health Corporation,OPERATING ROOM - BOWMANVILLE,UNIT CLERK-NUP
798,Lakeridge Health Corporation,OPERATING ROOM - BOWMANVILLE,UNIT COORDINATOR
799,Lakeridge Health Corporation,"OR MAIN, LHAP",CORPORATE SURGICAL SUPPLY COORDINATOR
800,Lakeridge Health Corporation,"OR MAIN, LHAP",OR BOOKING CLERK
801,Lakeridge Health Corporation,"OR MAIN, LHAP",REGISTERED PRACTICAL NURSE
802,Lakeridge Health Corporation,"OR MAIN, LHAP",UNIT CLERK
803,Lakeridge Health Corporation,"OR MAIN, LHAP",UNIT COORDINATOR
804,Lakeridge Health Corporation,"PACU/POST ANESTH CARE UNIT, LHAP",REGISTERED NURSE
805,Lakeridge Health Corporation,POST ANES CARE UNIT,UNIT CLERK
806,Lakeridge Health Corporation,POST ANES. CARE UNIT - BOWMANVILLE,REGISTERED NURSE
807,Lakeridge Health Corporation,"PRE-OP CLINIC, LHAP",REGISTERED NURSE
808,Lakeridge Health Corporation,PRE-OP SURGERY CLINIC,REGISTERED PRACTICAL NURSE
809,Lakeridge Health Corporation,"PROCESSING, LHAP",MDRD TECHNICIAN
810,Lakeridge Health Corporation,"PROCESSING, LHAP","SUPERVISOR, STERILE PROCESSING"
811,Lakeridge Health Corporation,SAME DAY SURGERY - BOWMANVILLE,REGISTERED NURSE
812,Lakeridge Health Corporation,SAME DAY SURGERY - BOWMANVILLE,UNIT CLERK
813,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MANAGEMENT,NURSE PRACTITIONER
814,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MGT,NURSE PRACTITIONER
815,Lakeridge Health Corporation,"MENTAL HEALTH, LHAP",NURSE PRACTITIONER
816,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - OSHAWA,NURSE PRACTITIONER
817,Lakeridge Health Corporation,DRCC SURG. ASSESSMENT,NURSE PRACTITIONER
818,Lakeridge Health Corporation,DRCC SYSTEMIC PRE&POST,NURSE PRACTITIONER
819,Lakeridge Health Corporation,GAIN - BSO,NURSE PRACTITIONER
820,Lakeridge Health Corporation,GERIATRIC ASSESSMENT & INTERVENTION,NURSE PRACTITIONER
821,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SYSTEM ADMIN,ACUTE CARE NURSE PRACTITIONER
822,Lakeridge Health Corporation,COMMUNITY RESPIRATORY SERVICES,REGISTERED RESPIRATORY THERAPIST
823,Lakeridge Health Corporation,EATING DISORDERS CLINIC,NURSE PRACTITIONER
824,Lakeridge Health Corporation,"EEG, LHAP",CERTIFIED E.E.G. TECHNICIAN
825,Lakeridge Health Corporation,ELECTROENCEPHALOGRAPHY EEG,EEG/EKG TECHNOLOGIST
826,Lakeridge Health Corporation,"ENTEROSTOMAL THERAPY, LHAP",NURSE PRACTITIONER
827,Lakeridge Health Corporation,"MEDICAL PROGRAM ADMIN, LHAP",NP MEDICAL PROGRAM
828,Lakeridge Health Corporation,PULMONARY FUNCTION LAB,REGISTERED RESPIRATORY THERAPIST
829,Lakeridge Health Corporation,RESPIRATORY SERVICES - BOWMANVILLE,REGISTERED RESPIRATORY THERAPIST
830,Lakeridge Health Corporation,RESPIRATORY SERVICES - OSHAWA,REGISTERED RESPIRATORY THERAPIST
831,Lakeridge Health Corporation,"RESPIRATORY THERAPY, LHAP",REGISTERED RESPIRATORY THERAPIST
832,Lakeridge Health Corporation,ADDICTION COMMUNITY TREATMENT,"MANAGER, PINEWOOD CENTRE"
833,Lakeridge Health Corporation,ADDICTIONS WITHDRAWAL MGT,"MANAGER, PINEWOOD CENTRE"
834,Lakeridge Health Corporation,"ADULT MH D/N, LHAP",SECRETARY
835,Lakeridge Health Corporation,HEALTH INFORMATION MANAGEMENT,MANAGER REGISTRATION & BOOKINGS
836,Lakeridge Health Corporation,SOCIAL WORK-CYFP,SECRETARY
837,Lakeridge Health Corporation,CIS PROJECT,OPERATIONS COORDINATOR
838,Lakeridge Health Corporation,GENETICS CLINICAL,UNIT CLERK
839,Lakeridge Health Corporation,HOME PERITONEAL DIALYSIS,"PCM, NEPHROLOGY CLINICS & HOME PROGRAMS"
840,Lakeridge Health Corporation,PALLIATIVE/SUPPORTIVE CARE,SECRETARY
841,Lakeridge Health Corporation,PATIENT REGISTRATION,ADMITTING CLERK
842,Lakeridge Health Corporation,PATIENT REGISTRATION,OPERATIONS COORDINATOR
843,Lakeridge Health Corporation,ACUTE MEDICINE CLINIC,UNIT CLERK
844,Lakeridge Health Corporation,ADDICTION COMMUNITY TREATMENT,ADMINISTRATIVE ASSISTANT II
845,Lakeridge Health Corporation,ADVANCED LIFE SUPPORT,"CLINICAL MANAGER, PARAMEDIC PROGRAMS"
846,Lakeridge Health Corporation,ADVANCED LIFE SUPPORT,"MANAGER, OFFICE OPERATIONS CEPCP"
847,Lakeridge Health Corporation,"AMBULATORY CARE UNIT, LHAP",UNIT CLERK
848,Lakeridge Health Corporation,"AMBULATORY CARE UNIT, LHAP",UNIT COORDINATOR
849,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - OSHAWA,"PATIENT CARE MGR, AMBULATORY HEMODIALYSI"
850,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - OSHAWA,UNIT CLERK
851,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - WHITBY,PCM LHW AMBULATORY HEMODIALYSIS/DIABETES
852,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - WHITBY,UNIT CLERK
853,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - WHITBY,UNIT COORDINATOR
854,Lakeridge Health Corporation,AMBULATORY REHAB CENTRE,REHABILITATION CLERK
855,Lakeridge Health Corporation,ARC HAND THERAPY CLINIC,REHABILITATION CLERK
856,Lakeridge Health Corporation,ARC NEURO LHO,REHABILITATION CLERK
857,Lakeridge Health Corporation,ARC PHYSIOTHERAPY - PORT PERRY,REHABILITATION CLERK
858,Lakeridge Health Corporation,CENTRAL BOOKING,CENTRAL BOOKING CLERK
859,Lakeridge Health Corporation,COM MH EARLY INTER PSYCHOSIS,SECRETARY
860,Lakeridge Health Corporation,COMMUNITY RESPIRATORY SERVICES,"MANAGER, COMMUNITY RESPIRATORY SERVICES"
861,Lakeridge Health Corporation,COMMUNITY RESPIRATORY SERVICES,SECRETARY
862,Lakeridge Health Corporation,CRP PATIENT CARE SPEC/EDUCATION,"CPL, SURGICAL AMBULATORY CLINIC"
863,Lakeridge Health Corporation,DESTINY MANOR,"MANAGER, PINEWOOD CENTRE"
864,Lakeridge Health Corporation,DESTINY MANOR,SECRETARY
865,Lakeridge Health Corporation,DIABETES EDUCATION PROGRAM,SECRETARY
866,Lakeridge Health Corporation,DIABETES EDUCATION PROGRAM,UNIT CLERK
867,Lakeridge Health Corporation,DISTRICT STROKE CENTRE,"PCM, DISTRICT STROKE CENTRE"
868,Lakeridge Health Corporation,EATING DISORDERS CLINIC,SECRETARY
869,Lakeridge Health Corporation,EYE LASER CLINIC,UNIT CLERK
870,Lakeridge Health Corporation,"FRACTURE CLINIC, LHAP",UNIT CLERK
871,Lakeridge Health Corporation,GAIN REGIONAL PROGRAM,REGIONAL MANAGER GAIN
872,Lakeridge Health Corporation,GERIATRIC ASSESSMENT & INTERVENTION,REHABILITATION CLERK
873,Lakeridge Health Corporation,HOME PERITONEAL DIALYSIS,SECRETARY
874,Lakeridge Health Corporation,MULTI-CARE KIDNEY CLINIC,UNIT CLERK
875,Lakeridge Health Corporation,NEONATAL FOLLOW UP CLINIC,UNIT CLERK
876,Lakeridge Health Corporation,NEPHROLOGY CLINIC,UNIT CLERK
877,Lakeridge Health Corporation,ORTHOPEADIC CLINIC,UNIT CLERK
878,Lakeridge Health Corporation,PATIENT REGISTRATION,"SUPERVISOR, DATA QUALITY & CENT BOOKING"
879,Lakeridge Health Corporation,PGM ADM: PASS,CLINICAL STRAT/QUALITY IMPROVEMENT LEAD
880,Lakeridge Health Corporation,"PHYSIO - O/P, LHAP",REHABILITATION CLERK
881,Lakeridge Health Corporation,"PHYSIO - O/P, LHAP",SECRETARY
882,Lakeridge Health Corporation,POSITIVE CARE CLINIC,COMMUNITY TRANSITION LIAISON COORDINATOR
883,Lakeridge Health Corporation,PULMONARY FUNCTION LAB,JR. CLERK TYPIST-NUP
884,Lakeridge Health Corporation,RAPID ASSESSMENT CLINIC,UNIT CLERK II
885,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SYSTEM ADMIN,"CLINICAL PRACTICE LEADER, DRDN & NEPHROL"
886,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SYSTEM ADMIN,"CLINICAL PRACTICE LEADER, NEPHROLOGY"
887,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SYSTEM ADMIN,CLINICAL QUALITY/STRAT & RESEARCH LEAD
888,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SYSTEM ADMIN,"DIRECTOR, NEPHROLOGY SERVICES"
889,Lakeridge Health Corporation,"SHOULDER CENTRE, LHAP","MANAGER, AMBULATORY CLINICS"
890,Lakeridge Health Corporation,"SHOULDER CENTRE, LHAP",UNIT CLERK
891,Lakeridge Health Corporation,STROKE PREVENTION CLINIC,SECRETARY
892,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,PATIENT PORTER
893,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - BOWMANVILLE,PATIENT PORTER
894,Lakeridge Health Corporation,CT SCAN - BOWMANVILLE,RADIOLOGY ASSISTANT
895,Lakeridge Health Corporation,CT SCAN - BOWMANVILLE,RADIOLOGY TECHNOLOGIST
896,Lakeridge Health Corporation,CT SCAN - CORPORATE,CHARGE RADIOLOGY TECHNOLOGIST
897,Lakeridge Health Corporation,CT SCAN - CORPORATE,RADIOLOGY ASSISTANT
898,Lakeridge Health Corporation,CT SCAN - CORPORATE,RADIOLOGY TECHNOLOGIST
899,Lakeridge Health Corporation,"CT SCAN, LHAP",CHARGE TECHNOLOGIST
900,Lakeridge Health Corporation,"CT SCAN, LHAP",REGISTERED TECHNOLOGIST
901,Lakeridge Health Corporation,"CT SCAN, LHAP",TECHNICAL ASSISTANT-DI
902,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN - WHITBY,"MANAGER, DI - IR, ULTRASOUND, MAMMOGRAPHY, OBSP"
903,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN - WHITBY,SYSTEM ADMINISTRATOR-ENTERPRISE IMAGE MN
904,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,ADMINISTRATIVE ASSISTANT II
905,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,"CLERICAL SUPERVISOR, DIAGNOSTIC IMAGING"
906,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,DIAGNOSTIC IMAGING CLERK
907,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,"DIRECTOR, DIAGNOSTIC IMAGING"
908,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,"MANAGER, DI - ECHOCARDIOLOGY, MRI, NUCLEAR MEDICINE"
909,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,"MANAGER, DI - EIMS/PACS, CLERICAL, SA"
910,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,"MANAGER, DI - NUCLEAR MEDICINE, CLERICAL"
911,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - ADMIN,"MANAGER, DI - X-RAY, CT"
912,Lakeridge Health Corporation,DIAGNOSTIC IMAGING - BOWMANVILLE,DIAGNOSTIC IMAGING CLERK
913,Lakeridge Health Corporation,"DIAGNOSTIC IMAGING ADMIN, LHAP",DIAGNOSTIC IMAGING CLERK
914,Lakeridge Health Corporation,"DIAGNOSTIC IMAGING ADMIN, LHAP",TECHNICAL ASSISTANT-DI
915,Lakeridge Health Corporation,DIAGNOSTIC ULTRASOUND - BOWMANVILLE,SONOGRAPHER
916,Lakeridge Health Corporation,DIAGNOSTIC ULTRASOUND - OSHAWA,RADIOLOGY ASSISTANT
917,Lakeridge Health Corporation,DIAGNOSTIC ULTRASOUND - OSHAWA,SONOGRAPHER
918,Lakeridge Health Corporation,DIAGNOSTIC ULTRASOUND - OSHAWA,SR. ULTRASOUND SONOGRAPHER
919,Lakeridge Health Corporation,DIAGNOSTIC ULTRASOUND - PORT PERRY,ULTRASOUND TECHNOLOGIST
920,Lakeridge Health Corporation,GENERAL X-RAY - BOWMANVILLE,RADIOLOGY TECHNOLOGIST
921,Lakeridge Health Corporation,GENERAL X-RAY - OSHAWA,CHARGE RADIOLOGY TECHNOLOGIST
922,Lakeridge Health Corporation,GENERAL X-RAY - OSHAWA,RADIOLOGY TECHNOLOGIST
923,Lakeridge Health Corporation,GENERAL X-RAY - OSHAWA,SENIOR RADIOLOGY TECHNOLOGIST
924,Lakeridge Health Corporation,GENERAL X-RAY - OSHAWA,SENIOR RADIOLOGY TECHNOLOGIST - ART
925,Lakeridge Health Corporation,GENERAL X-RAY,CHARGE TECHNOLOGIST
926,Lakeridge Health Corporation,GENERAL X-RAY,REGISTERED TECHNOLOGIST
927,Lakeridge Health Corporation,LHAP INTERVENTIONAL RADIOLOGY,REGISTERED NURSE
928,Lakeridge Health Corporation,"MAGNETIC RESONANCE IMAGING, LHAP",REGISTERED MRI TECHNOLOGIST
929,Lakeridge Health Corporation,"MAGNETIC RESONANCE IMAGING, LHAP",REGISTERED TECHNOLOGIST
930,Lakeridge Health Corporation,"MAGNETIC RESONANCE IMAGING, LHAP",SENIOR MRI TECHNOLOGIST
931,Lakeridge Health Corporation,"MAMMOGRAPHY, LHAP",SENIOR TECHNOLOGIST
932,Lakeridge Health Corporation,MAMMOGRAPHY,CHARGE RADIOLOGY TECHNOLOGIST
933,Lakeridge Health Corporation,MAMMOGRAPHY,RADIOLOGY ASSISTANT
934,Lakeridge Health Corporation,MAMMOGRAPHY,RADIOLOGY TECHNOLOGIST
935,Lakeridge Health Corporation,NUCLEAR MEDICINE (IN VIVO),CHARGE NUC MED TECHNOLOGIST
936,Lakeridge Health Corporation,NUCLEAR MEDICINE (IN VIVO),NUCLEAR MEDICINE TECHNOLOGIST
937,Lakeridge Health Corporation,"NUCLEAR MEDICINE, LHAP",REGISTERED TECHNOLOGIST
938,Lakeridge Health Corporation,"NUCLEAR MEDICINE, LHAP",SENIOR TECHNOLOGIST
939,Lakeridge Health Corporation,"ULTRASOUND, LHAP",CHARGE TECHNOL-ULTRASOUND + MRI
940,Lakeridge Health Corporation,"ULTRASOUND, LHAP",REGISTERED ULTRASOUND TECHNOLOGIST
941,Lakeridge Health Corporation,X-RAY - PORT PERRY,RADIOLOGY TECHNOLOGIST
942,Lakeridge Health Corporation,OBSTETRICAL CLINICS,REGISTERED NURSE
943,Lakeridge Health Corporation,BREAST FEEDING CLINIC,REGISTERED NURSE
944,Lakeridge Health Corporation,"LDRP, LHAP",REGISTERED NURSE - TEMP REG
945,Lakeridge Health Corporation,"LDRP, LHAP",REGISTERED PRACTICAL NURSE
946,Lakeridge Health Corporation,"LDRP, LHAP",UNIT CLERK
947,Lakeridge Health Corporation,"LDRP, LHAP",UNIT COORDINATOR
948,Lakeridge Health Corporation,OBS LABOUR & DELIVERY,REGISTERED NURSE
949,Lakeridge Health Corporation,OBS LABOUR & DELIVERY,REGISTERED PRACTICAL NURSE
950,Lakeridge Health Corporation,OBS LABOUR & DELIVERY,"SUPERVISOR, OBSTETRICS PROGRAM"
951,Lakeridge Health Corporation,OBS LABOUR & DELIVERY,UNIT CLERK
952,Lakeridge Health Corporation,OBS LABOUR & DELIVERY,UNIT COORDINATOR
953,Lakeridge Health Corporation,"OBSTETRICS CLINIC, LHAP",REGISTERED NURSE
